City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,Paracatu,BR,86.97,clear sky,-17.2222,-46.8747,Hotel Paracatu Plaza
357,Taoudenni,ML,94.68,clear sky,22.6783,-3.9836,
358,Gamba,GA,77.32,overcast clouds,-2.65,10.0,
373,Zaraza,VE,85.87,overcast clouds,9.3503,-65.3245,Hotel Zaraza
374,Vilhena,BR,88.02,scattered clouds,-12.7406,-60.1458,Hotel Mirage
376,Sarh,TD,85.6,light rain,9.1429,18.3923,Domicile 1sur le goudron
378,Kharan,PK,91.83,overcast clouds,28.5833,65.4167,Dil Aram Bangla
379,Malambo,CO,88.3,overcast clouds,10.8595,-74.7739,Hotel Baly Express
381,Namatanai,PG,80.04,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
382,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Beach Rotana
384,Qui Nhon,VN,79.54,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
386,Pangkalanbuun,ID,75.42,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
389,Thinadhoo,MV,83.77,overcast clouds,0.5333,72.9333,
391,Kismayo,SO,83.39,overcast clouds,-0.3582,42.5454,Agan-Hotel
392,Ratnagiri,IN,83.12,broken clouds,16.9833,73.3,Hotel Landmark
396,Soyo,AO,79.16,overcast clouds,-6.1349,12.3689,Hotel Mpampa
399,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
402,Ponnani,IN,85.32,few clouds,10.767,75.9252,Rouba Residency
403,Abu Kamal,SY,81.95,clear sky,34.4506,40.9171,البوكمال
405,Kirakira,SB,80.24,overcast clouds,-10.4544,161.9205,SanBiz Lodge
408,Anloga,GH,83.39,overcast clouds,5.7947,0.8973,Pin Drop Hotel
410,Ascension,US,75.11,clear sky,30.2169,-90.9001,Highland Inn
413,Buenaventura,CO,86.41,broken clouds,3.8801,-77.0312,Hotel Victoria
417,Quebo,GW,93.99,clear sky,11.3333,-14.9333,
420,Pochutla,MX,92.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
421,Takoradi,GH,83.16,broken clouds,4.8845,-1.7554,Raybow International Hotel
442,Akdepe,TM,76.33,overcast clouds,42.0551,59.3788,
443,Karwar,IN,83.08,scattered clouds,14.8,74.1333,Netalco Connects
445,Ipira,BR,80.11,broken clouds,-12.1583,-39.7372,Hotel Phyccus
448,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
