City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
142,Erzin,TR,36.9559,36.2,67.05,43,98,2.21,overcast clouds,2022-04-27 16:55:22
143,Alice Springs,AU,-23.7,133.8833,69.35,46,14,0.0,few clouds,2022-04-27 16:55:22
144,Carutapera,BR,-1.195,-46.02,80.19,87,98,6.71,moderate rain,2022-04-27 16:55:22
145,Sitka,US,57.0531,-135.33,42.96,80,100,1.81,overcast clouds,2022-04-27 16:55:23
146,Qingdao,CN,36.0986,120.3719,51.4,71,0,6.71,clear sky,2022-04-27 16:55:23
147,Kodiak,US,57.79,-152.4072,42.57,68,8,1.72,clear sky,2022-04-27 16:55:24
148,Pisco,PE,-13.7,-76.2167,68.05,83,20,9.22,mist,2022-04-27 16:55:24
149,Baikunthpur,IN,23.25,82.55,86.25,12,2,2.21,clear sky,2022-04-27 16:55:25
150,Carlyle,US,38.6103,-89.3726,66.6,41,51,5.99,broken clouds,2022-04-27 16:54:05
151,Jand,PK,33.4299,72.0193,89.19,16,34,3.58,scattered clouds,2022-04-27 16:55:25
152,Bubaque,GW,11.2833,-15.8333,77.97,77,37,16.17,scattered clouds,2022-04-27 16:55:25
153,Hearst,CA,49.6835,-83.6665,28.65,52,52,8.95,broken clouds,2022-04-27 16:55:26
154,Sosnogorsk,RU,63.6023,53.8817,29.5,96,100,10.74,snow,2022-04-27 16:55:26
155,Broome,US,42.2506,-75.833,42.46,66,100,12.66,overcast clouds,2022-04-27 16:55:27
156,Flinders,AU,-34.5833,150.8552,64.38,93,96,7.0,overcast clouds,2022-04-27 16:55:27
157,Copperas Cove,US,31.1241,-97.9031,72.82,60,75,9.22,broken clouds,2022-04-27 16:51:45
158,Aykhal,RU,66.0,111.5,10.27,93,100,3.74,overcast clouds,2022-04-27 16:55:27
159,Tateyama,JP,34.9833,139.8667,66.09,80,100,26.06,overcast clouds,2022-04-27 16:55:28
160,Kruisfontein,ZA,-34.0033,24.7314,62.89,73,0,6.71,clear sky,2022-04-27 16:55:28
161,Mataram,ID,-8.5833,116.1167,77.81,78,95,2.84,overcast clouds,2022-04-27 16:55:29
162,Baruun-Urt,MN,46.6806,113.2792,36.79,23,89,5.5,overcast clouds,2022-04-27 16:55:29
163,San Patricio,US,28.017,-97.5169,78.89,56,16,14.43,few clouds,2022-04-27 16:55:29
164,Kijang,KR,35.2442,129.2139,56.93,71,65,9.98,broken clouds,2022-04-27 16:55:30
165,Nantucket,US,41.2835,-70.0995,57.31,62,40,20.71,scattered clouds,2022-04-27 16:54:15
166,Bengkulu,ID,-3.8004,102.2655,76.3,93,100,3.65,moderate rain,2022-04-27 16:48:56
167,Myitkyina,MM,25.3833,97.4,78.82,40,58,2.82,broken clouds,2022-04-27 16:55:30
168,Lebu,CL,-37.6167,-73.65,54.32,71,73,13.29,broken clouds,2022-04-27 16:55:31
169,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,81,20,6.91,few clouds,2022-04-27 16:55:31
170,Martinsburg,US,39.4562,-77.9639,56.88,44,72,8.99,broken clouds,2022-04-27 16:55:31
171,Samarai,PG,-10.6167,150.6667,80.89,82,89,7.16,overcast clouds,2022-04-27 16:55:32
172,Naantali,FI,60.4674,22.0243,39.33,32,0,6.91,clear sky,2022-04-27 16:55:32
173,Karratha,AU,-20.7377,116.8463,78.28,64,96,8.88,overcast clouds,2022-04-27 16:51:33
174,Dawei,MM,14.0833,98.2,80.94,83,13,1.5,few clouds,2022-04-27 16:55:33
175,San-Pedro,CI,4.7485,-6.6363,83.17,75,92,8.77,light rain,2022-04-27 16:55:33
176,Haapiti,PF,-17.5667,-149.8667,76.73,75,7,22.84,light rain,2022-04-27 16:55:34
177,Poum,NC,-20.2333,164.0167,76.48,72,100,21.32,overcast clouds,2022-04-27 16:55:34
178,Nantong,CN,32.0303,120.8747,57.97,68,100,9.93,overcast clouds,2022-04-27 16:55:34
179,Caxito,AO,-8.5785,13.6643,75.7,97,83,4.21,moderate rain,2022-04-27 16:55:35
180,Kartaly,RU,53.0522,60.6467,60.62,55,100,9.24,overcast clouds,2022-04-27 16:55:35
181,Esperance,AU,-33.8667,121.9,58.84,82,71,11.65,moderate rain,2022-04-27 16:56:35
182,Axim,GH,4.8699,-2.2405,83.43,74,57,10.69,broken clouds,2022-04-27 16:56:36
183,Fonte Boa,BR,-2.4959,-66.2662,83.5,69,100,0.74,overcast clouds,2022-04-27 16:56:36
184,The Pas,CA,53.8251,-101.2541,37.13,64,19,12.62,few clouds,2022-04-27 16:56:36
185,Noyakert,AM,39.8312,44.669,73.74,39,75,3.0,broken clouds,2022-04-27 16:56:37
186,Nome,US,64.5011,-165.4064,28.17,99,75,3.44,mist,2022-04-27 16:56:37
187,Gushikawa,JP,26.3544,127.8686,76.62,88,97,6.46,overcast clouds,2022-04-27 16:56:38
188,Zirandaro,MX,18.45,-100.9833,99.61,23,0,1.86,clear sky,2022-04-27 16:56:38
